Sample	Rep	Cq	log10(Concentration)	Copies
C3T1_DNA	3	11.91	7.398419612	25027623.45
R5T1_DNA	3	14.58	6.633274983	4298084.832
C4T2_DNA	3	17.09	5.918185073	828295.0643
R6T2_DNA	3	13.02	7.081351573	12060118.43
C5T3_DNA	3	13.42	6.966590501	9259563.206
R7T3_DNA	3	NA	NA	NA
C6T4_DNA	3	12.74	7.161525871	14505271.79
R8T4_DNA	3	15.13	6.478251807	3007819.751
R2T5_DNA	3	16.60	6.057721764	1142146.37
C4T1_DNA	3	12.26	7.296201348	19778864.16
R6T1_DNA	3	13.13	7.049559497	11208809.72
C5T2_DNA	3	12.60	7.200307825	15860169.52
R7T2_DNA	3	16.89	5.97383791	941538.1248
C6T3_DNA	3	18.59	5.488871792	308227.7899
R8T3_DNA	3	38.87	-0.304458849	0.496067929
R1T4_DNA	3	34.53	0.93420292	8.594149805
R9T4_DNA	3	15.91	6.254040186	1794899.706
R3T5_DNA	3	23.05	4.215469845	16423.6562
C5T1_DNA	3	12.14	7.331653836	21461191.8
R7T1_DNA	3	12.78	7.14753601	14045461.4
C6T2_DNA	3	13.42	6.966667647	9261208.186
R8T2_DNA	3	12.65	7.18494056	15308779.23
R1T3_DNA	3	35.17	0.752598319	5.657158141
R9T3_DNA	3	NA	NA	NA
R2T4_DNA	3	14.21	6.740591858	5502903.012
C1T5_DNA	3	13.33	6.991396432	9803844.895
R4T5_DNA	3	18.22	5.595939078	394401.9725
C6T1_DNA	3	12.05	7.358703306	22840379.02
R8T1_DNA	3	12.17	7.32333058	21053804.19
R1T2_DNA	3	36.73	0.306898241	2.027207672
R9T2_DNA	3	12.60	7.200537232	15868549.55
R2T3_DNA	3	16.07	6.209285684	1619144.781
C1T4_DNA	3	13.32	6.9942147	9867671.883
R3T4_DNA	3	17.09	5.916506906	825100.6065
C2T5_DNA	3	13.67	6.894261422	7839013.677
R5T5_DNA	3	18.29	5.575520005	376287.685
R1T1_DNA	3	36.83	0.27635139	1.889519552
R9T1_DNA	3	12.27	7.293567835	19659290.26
R2T2_DNA	3	16.55	6.070351237	1175848.142
C1T3_DNA	3	NA	NA	NA
R3T3_DNA	3	17.46	5.812585738	649509.8446
C2T4_DNA	3	13.83	6.848622382	7057036.794
R4T4_DNA	3	15.66	6.325066716	2113813.735
C3T5_DNA	3	12.56	7.212796101	16322854.2
R6T5_DNA	3	14.43	6.67658395	4748800.773
R2T1_DNA	3	14.01	6.797771295	6277277.018
C1T2_DNA	3	15.60	6.343356627	2204736.168
R3T2_DNA	3	15.86	6.268082132	1853882.19
C2T3_DNA	3	26.49	3.232011908	1706.129171
R4T3_DNA	3	15.28	6.435028161	2722877.862
C3T4_DNA	3	12.31	7.284320628	19245120.19
R5T4_DNA	3	14.66	6.613014767	4102180.513
C4T5_DNA	3	12.15	7.328529938	21307374.47
R7T5_DNA	3	18.46	5.526267689	335944.6189
R8T5_DNA	3	NA	NA	NA
R9T5_DNA	3	18.34	5.560253968	363290.4384
_DNA	3	35.54	0.646066251	4.426558942
